13:09:38.750 -> Humidity: 35.00 %, Temp: 26.20 Celsius
13:09:38.750 -> Humidity: 34.70 %, Temp: 26.10 Celsius
13:09:38.750 -> Humidity: 35.60 %, Temp: 26.10 Celsius
13:09:38.750 -> Humidity: 36.00 %, Temp: 26.10 Celsius
13:09:40.761 -> Humidity: 36.00 %, Temp: 26.10 Celsius
13:09:42.747 -> Humidity: 35.90 %, Temp: 26.10 Celsius
13:09:44.775 -> Humidity: 36.50 %, Temp: 26.10 Celsius
13:09:46.767 -> Humidity: 37.10 %, Temp: 26.10 Celsius
13:09:48.778 -> Humidity: 37.40 %, Temp: 26.10 Celsius
13:09:50.760 -> Humidity: 36.70 %, Temp: 26.10 Celsius
13:09:52.788 -> Humidity: 36.60 %, Temp: 26.10 Celsius
13:09:54.770 -> Humidity: 36.00 %, Temp: 26.10 Celsius
13:09:56.779 -> Humidity: 35.80 %, Temp: 26.10 Celsius
13:09:58.799 -> Humidity: 35.80 %, Temp: 26.10 Celsius
13:10:00.787 -> Humidity: 36.20 %, Temp: 26.10 Celsius
13:10:02.810 -> Humidity: 36.40 %, Temp: 26.10 Celsius
13:10:04.800 -> Humidity: 36.40 %, Temp: 26.10 Celsius
13:10:06.830 -> Humidity: 35.10 %, Temp: 26.10 Celsius
13:10:08.822 -> Humidity: 34.30 %, Temp: 26.10 Celsius
13:10:10.816 -> Humidity: 34.10 %, Temp: 26.10 Celsius
13:10:12.835 -> Humidity: 35.40 %, Temp: 26.10 Celsius
13:10:14.847 -> Humidity: 36.30 %, Temp: 26.10 Celsius
13:10:16.832 -> Humidity: 37.10 %, Temp: 26.10 Celsius
13:10:18.849 -> Humidity: 36.70 %, Temp: 26.10 Celsius
13:10:20.838 -> Humidity: 36.10 %, Temp: 26.10 Celsius
13:10:22.859 -> Humidity: 35.90 %, Temp: 26.10 Celsius
13:10:24.846 -> Humidity: 35.90 %, Temp: 26.10 Celsius
13:10:26.863 -> Humidity: 35.90 %, Temp: 26.10 Celsius
13:10:28.859 -> Humidity: 35.40 %, Temp: 26.00 Celsius
13:10:30.881 -> Humidity: 35.20 %, Temp: 26.10 Celsius
13:10:32.876 -> Humidity: 34.90 %, Temp: 26.10 Celsius
13:10:34.875 -> Humidity: 34.30 %, Temp: 26.00 Celsius
13:10:36.900 -> Humidity: 33.90 %, Temp: 26.10 Celsius
13:10:38.896 -> Humidity: 33.30 %, Temp: 26.00 Celsius
13:10:40.885 -> Humidity: 33.00 %, Temp: 26.00 Celsius
13:10:42.911 -> Humidity: 32.80 %, Temp: 26.00 Celsius
13:10:44.909 -> Humidity: 32.60 %, Temp: 26.00 Celsius
13:10:46.930 -> Humidity: 32.50 %, Temp: 26.00 Celsius
13:10:48.920 -> Humidity: 32.40 %, Temp: 26.00 Celsius
13:10:50.941 -> Humidity: 32.30 %, Temp: 26.00 Celsius
